Synopsis,CVE,Risk,Host,Solution,Plugin Output
"Nessus was able to connect to a host via SMB to retrieve a list of
local Groups and their Members.",0,None,10.10.10.123,n/a,"Group Name : RDS Management Servers
Host Name  : QAILDC01
Group SID  : S-1-5-32-577
Members    : 

Group Name : Hyper-V Administrators
Host Name  : QAILDC01
Group SID  : S-1-5-32-578
Members    : 

Group Name : Access Control Assistance Operators
Host Name  : QAILDC01
Group SID  : S-1-5-32-579
Members    : 

Group Name : Remote Management Users
Host Name  : QAILDC01
Group SID  : S-1-5-32-580
Members    : 

Group Name : Incoming Forest Trust Builders
Host Name  : QAILDC01
Group SID  : S-1-5-32-557
Members    : 

Group Name : Terminal Server License Servers
Host Name  : QAILDC01
Group SID  : S-1-5-32-561
Members    : 
  Name : SYSILSAPAPP01$
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : 

Group Name : Backup Operators
Host Name  : QAILDC01
Group SID  : S-1-5-32-551
Members    : 

Group Name : Replicator
Host Name  : QAILDC01
Group SID  : S-1-5-32-552
Members    : 

Group Name : Print Operators
Host Name  : QAILDC01
Group SID  : S-1-5-32-550
Members    : 

Group Name : Administrators
Host Name  : QAILDC01
Group SID  : S-1-5-32-544
Members    : 
  Name : Domain Admins
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-512
  Name : Enterprise Admins
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-519
  Name : Administrator
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-500
  Name : admtuser
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-1121
  Name : itservices
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5256

Group Name : Windows Authorization Access Group
Host Name  : QAILDC01
Group SID  : S-1-5-32-560
Members    : 
  Name : ENTERPRISE DOMAIN CONTROLLERS
    Domain : QAILDC01
    Class  : Win32_SystemAccount
    SID    : S-1-5-9

Group Name : Guests
Host Name  : QAILDC01
Group SID  : S-1-5-32-546
Members    : 
  Name : Guest
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-501
  Name : Domain Guests
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-514

Group Name : Users
Host Name  : QAILDC01
Group SID  : S-1-5-32-545
Members    : 
  Name : Domain Users
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-513
  Name : itservices
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5256
  Name : Authenticated Users
    Domain : QAILDC01
    Class  : Win32_SystemAccount
    SID    : S-1-5-11
  Name : gali
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5229
  Name : INTERACTIVE
    Domain : QAILDC01
    Class  : Win32_SystemAccount
    SID    : S-1-5-4
  Name : havi
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5135
  Name : danielu
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5526
  Name : elena
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9621
  Name : AAD_cbf78f968637
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9771
  Name : inna
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9795
  Name : eilers
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9797

Group Name : Pre-Windows 2000 Compatible Access
Host Name  : QAILDC01
Group SID  : S-1-5-32-554
Members    : 
  Name : Authenticated Users
    Domain : QAILDC01
    Class  : Win32_SystemAccount
    SID    : S-1-5-11

Group Name : Account Operators
Host Name  : QAILDC01
Group SID  : S-1-5-32-548
Members    : 
  Name : admgmt
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-1368

Group Name : Server Operators
Host Name  : QAILDC01
Group SID  : S-1-5-32-549
Members    : 
  Name : cachecluster
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-2261
  Name : fgbackup
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5427

Group Name : IIS_IUSRS
Host Name  : QAILDC01
Group SID  : S-1-5-32-568
Members    : 

Group Name : Remote Desktop Users
Host Name  : QAILDC01
Group SID  : S-1-5-32-555
Members    : 

Group Name : Network Configuration Operators
Host Name  : QAILDC01
Group SID  : S-1-5-32-556
Members    : 

Group Name : Performance Monitor Users
Host Name  : QAILDC01
Group SID  : S-1-5-32-558
Members    : 

Group Name : Performance Log Users
Host Name  : QAILDC01
Group SID  : S-1-5-32-559
Members    : 

Group Name : Distributed COM Users
Host Name  : QAILDC01
Group SID  : S-1-5-32-562
Members    : 

Group Name : Cryptographic Operators
Host Name  : QAILDC01
Group SID  : S-1-5-32-569
Members    : 

Group Name : Event Log Readers
Host Name  : QAILDC01
Group SID  : S-1-5-32-573
Members    : 

Group Name : Certificate Service DCOM Access
Host Name  : QAILDC01
Group SID  : S-1-5-32-574
Members    : 

Group Name : RDS Remote Access Servers
Host Name  : QAILDC01
Group SID  : S-1-5-32-575
Members    : 

Group Name : RDS Endpoint Servers
Host Name  : QAILDC01
Group SID  : S-1-5-32-576
Members    : 

Group Name : Cert Publishers
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-517
Members    : 

Group Name : RAS and IAS Servers
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-553
Members    : 

Group Name : Allowed RODC Password Replication Group
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-571
Members    : 

Group Name : Denied RODC Password Replication Group
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-572
Members    : 
  Name : Cert Publishers
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-517
  Name : krbtgt
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-502
  Name : Domain Controllers
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-516
  Name : Read-only Domain Controllers
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-521
  Name : Domain Admins
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-512
  Name : Group Policy Creator Owners
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-520
  Name : Schema Admins
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-518
  Name : Enterprise Admins
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-519

Group Name : WinRMRemoteWMIUsers__
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-1000
Members    : 

Group Name : DnsAdmins
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-1102
Members    : 

Group Name : Server Local Admins
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-1108
Members    : 
  Name : dcs_monitor
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-1438

Group Name : Printer Users
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-1111
Members    : 

Group Name : DC Local Admins
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-1358
Members    : 

Group Name : SVN Developers
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-1359
Members    : 
  Name : Server Local Admins
    Domain : NAYAXVEND
    Class  : Win32_Group
    SID    : S-1-5-21-3852196445-1890925931-3115976469-1108
  Name : giladk
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-1461
  Name : yossi
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5226
  Name : tzipi
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5250
  Name : itaig
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5300
  Name : kobi
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5251
  Name : erezh
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-6804

Group Name : WSUS Administrators
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-5104
Members    : 
  Name : gal-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9695
  Name : tom-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9696
  Name : ofer-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9798

Group Name : WSUS Reporters
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-5105
Members    : 

Group Name : DHCP Users
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-5145
Members    : 

Group Name : DHCP Administrators
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-5146
Members    : 

Group Name : ADSyncAdmins
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-9767
Members    : 
  Name : shlomix
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5141
  Name : itservices
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5256
  Name : gal-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9695
  Name : tom-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9696
  Name : gilfalko-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9699
  Name : ofer-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9798

Group Name : ADSyncOperators
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-9768
Members    : 
  Name : shlomix
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5141
  Name : itservices
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5256
  Name : gal-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9695
  Name : tom-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9696
  Name : gilfalko-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9699
  Name : ofer-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9798

Group Name : ADSyncBrowse
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-9769
Members    : 
  Name : shlomix
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5141
  Name : itservices
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5256
  Name : gal-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9695
  Name : tom-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9696
  Name : gilfalko-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9699
  Name : ofer-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9798

Group Name : ADSyncPasswordSet
Host Name  : QAILDC01
Group SID  : S-1-5-21-3852196445-1890925931-3115976469-9770
Members    : 
  Name : shlomix
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5141
  Name : itservices
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-5256
  Name : gal-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9695
  Name : tom-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9696
  Name : gilfalko-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9699
  Name : ofer-admin
    Domain : NAYAXVEND
    Class  : Win32_UserAccount
    SID    : S-1-5-21-3852196445-1890925931-3115976469-9798

"
"Nessus was able to collect and report the PowerShell execution policy
for the remote host.",0,None,10.10.10.123,n/a,"HKLM\SOFTWARE\Microsoft\PowerShell\1\ShellIds\Microsoft.PowerShell\ExecutionPolicy : RemoteSigned
HKLM\SOFTWARE\Wow6432Node\Microsoft\PowerShell\1\ShellIds\Microsoft.PowerShell\ExecutionPolicy : RemoteSigned
"
It is possible to discover information about the remote LDAP server.,0,None,10.10.10.123,n/a,"[+]-namingContexts:
   |  DC=nayaxvend,DC=int
   |  CN=Configuration,DC=nayaxvend,DC=int
   |  CN=Schema,CN=Configuration,DC=nayaxvend,DC=int
   |  DC=ForestDnsZones,DC=nayaxvend,DC=int
   |  DC=DomainDnsZones,DC=nayaxvend,DC=int
[+]-currentTime:
   |  20170927090045.0Z
[+]-subschemaSubentry:
   |  CN=Aggregate,CN=Schema,CN=Configuration,DC=nayaxvend,DC=int
[+]-dsServiceName:
   |  CN=NTDS Settings,CN=QAILDC01,CN=Servers,CN=QA,CN=Sites,CN=Configuration,DC=nayaxvend,DC=int
[+]-namingContexts:
   |  DC=nayaxvend,DC=int
   |  CN=Configuration,DC=nayaxvend,DC=int
   |  CN=Schema,CN=Configuration,DC=nayaxvend,DC=int
   |  DC=ForestDnsZones,DC=nayaxvend,DC=int
   |  DC=DomainDnsZones,DC=nayaxvend,DC=int
[+]-defaultNamingContext:
   |  DC=nayaxvend,DC=int
[+]-schemaNamingContext:
   |  CN=Schema,CN=Configuration,DC=nayaxvend,DC=int
[+]-configurationNamingContext:
   |  CN=Configuration,DC=nayaxvend,DC=int
[+]-rootDomainNamingContext:
   |  DC=nayaxvend,DC=int
[+]-supportedControl:
   |  1.2.840.113556.1.4.319
   |  1.2.840.113556.1.4.801
   |  1.2.840.113556.1.4.473
   |  1.2.840.113556.1.4.528
   |  1.2.840.113556.1.4.417
   |  1.2.840.113556.1.4.619
   |  1.2.840.113556.1.4.841
   |  1.2.840.113556.1.4.529
   |  1.2.840.113556.1.4.805
   |  1.2.840.113556.1.4.521
   |  1.2.840.113556.1.4.970
   |  1.2.840.113556.1.4.1338
   |  1.2.840.113556.1.4.474
   |  1.2.840.113556.1.4.1339
   |  1.2.840.113556.1.4.1340
   |  1.2.840.113556.1.4.1413
   |  2.16.840.1.113730.3.4.9
   |  2.16.840.1.113730.3.4.10
   |  1.2.840.113556.1.4.1504
   |  1.2.840.113556.1.4.1852
   |  1.2.840.113556.1.4.802
   |  1.2.840.113556.1.4.1907
   |  1.2.840.113556.1.4.1948
   |  1.2.840.113556.1.4.1974
   |  1.2.840.113556.1.4.1341
   |  1.2.840.113556.1.4.2026
   |  1.2.840.113556.1.4.2064
   |  1.2.840.113556.1.4.2065
   |  1.2.840.113556.1.4.2066
   |  1.2.840.113556.1.4.2090
   |  1.2.840.113556.1.4.2205
   |  1.2.840.113556.1.4.2204
   |  1.2.840.113556.1.4.2206
   |  1.2.840.113556.1.4.2211
   |  1.2.840.113556.1.4.2239
   |  1.2.840.113556.1.4.2255
   |  1.2.840.113556.1.4.2256
[+]-supportedLDAPVersion:
   |  3
   |  2
[+]-supportedLDAPPolicies:
   |  MaxPoolThreads
   |  MaxPercentDirSyncRequests
   |  MaxDatagramRecv
   |  MaxReceiveBuffer
   |  InitRecvTimeout
   |  MaxConnections
   |  MaxConnIdleTime
   |  MaxPageSize
   |  MaxBatchReturnMessages
   |  MaxQueryDuration
   |  MaxTempTableSize
   |  MaxResultSetSize
   |  MinResultSets
   |  MaxResultSetsPerConn
   |  MaxNotificationPerConn
   |  MaxValRange
   |  MaxValRangeTransitive
   |  ThreadMemoryLimit
   |  SystemMemoryLimitPercent
[+]-highestCommittedUSN:
   |  5580542
[+]-supportedSASLMechanisms:
   |  GSSAPI
   |  GSS-SPNEGO
   |  EXTERNAL
   |  DIGEST-MD5
[+]-dnsHostName:
   |  QAILDC01.nayaxvend.int
[+]-ldapServiceName:
   |  nayaxvend.int:qaildc01$@NAYAXVEND.INT
[+]-serverName:
   |  CN=QAILDC01,CN=Servers,CN=QA,CN=Sites,CN=Configuration,DC=nayaxvend,DC=int
[+]-supportedCapabilities:
   |  1.2.840.113556.1.4.800
   |  1.2.840.113556.1.4.1670
   |  1.2.840.113556.1.4.1791
   |  1.2.840.113556.1.4.1935
   |  1.2.840.113556.1.4.2080
   |  1.2.840.113556.1.4.2237
[+]-isSynchronized:
   |  TRUE
[+]-isGlobalCatalogReady:
   |  TRUE
[+]-domainFunctionality:
   |  6
[+]-forestFunctionality:
   |  6
[+]-domainControllerFunctionality:
   |  6
"
It is possible to determine the exact time set on the remote host.,CVE-1999-0524,None,10.10.10.123,"Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).","This host returns non-standard timestamps (high bit is set)
The ICMP timestamps might be in little endian format (not in network format)
The difference between the local and remote clocks is 5 seconds.
"
It is possible to access a network share.,CVE-1999-0519,None,10.10.10.123,"To restrict access under Windows, open Explorer, do a right click on
each share, go to the 'sharing' tab, and click on 'permissions'.","
The following shares can be accessed as itservices :

- SYSVOL  - (readable,writable)
  + Content of this share :
..
nayaxvend.int

- ADMIN$  - (readable,writable)
  + Content of this share :
..
ADFS
ADWS
AppCompat
apppatch
AppReadiness
assembly
bfsvc.exe
Boot
bootstat.dat
Branding
CbsTemp
Cursors
dd_vcredistMSI0EAA.txt
dd_vcredistUI0EAA.txt
debug
DesktopTileResources
DfsrAdmin.exe
DfsrAdmin.exe.config
diagnostics
DigitalLocker
Downloaded Program Files
drivers
DtcInstall.log
ELAMBKUP
en-US
explorer.exe
Fonts
Globalization
Help
HelpPane.exe
hh.exe
IME
ImmersiveControlPanel
Inf
InputMethod
Installer
L2Schemas
LiveKernelReports
Logs
media
mib.bin
Microsoft.NET
ModemLogs
NTDS
Offline Web Pages
Panther
PFRO.log
PLA
PolicyDefinitions
PolicyDefinitions - Copy
Provisioning
PSEXESVC.exe
regedit.exe
Registration
RemotePackages
rescache
Resources
SchCache
schemas
security
ServerStandard.xml
ServerWeb.xml
ServiceProfiles
servicing
Setup
setupact.log
setuperr.log
SoftwareDistribution
Speech
splwow64.exe
System
system.ini
System32
SystemResources
SYSVOL
SysWOW64
TAPI
Tasks
Temp
ToastData
tracing
vmgcoinstall.log
Vss
Web
win.ini
WindowsShell.Manifest
WindowsUpdate.log
winhlp32.exe
WinSxS

- backup  - (readable,writable)
  + Content of this share :
..
WindowsImageBackup

- C$  - (readable,writable)
  + Content of this share :
.rnd
backup
bootmgr
BOOTNXT
Documents and Settings
nayaxvendDeletedOrphanedUsers.csv
nayaxvendOrphanedUsers.csv
pagefile.sys
PerfLogs
Program Files
Program Files (x86)
ProgramData
Scripts
System Volume Information
test
Users
Windows

- NETLOGON  - (readable,writable)
  + Content of this share :
..

"
Internet Explorer is installed on the remote host.,0,None,10.10.10.123,n/a,"
  Version  : 11.0.9600.18793
"
At least one user has never logged into his or her account.,0,None,10.10.10.123,Delete accounts that are not needed.,"
The following users have never logged in :

  - krbtgt
  - Guest
  - admtuser


Note that, in addition to the Administrator, Guest, and Kerberos
accounts, Nessus has enumerated only those domain users with UIDs
between 1000 and 1200. To use a different range, edit the scan policy
and change the 'Start UID' and/or 'End UID' preferences for 
'SMB use domain SID to enumerate users' setting, and then re-run the scan.
"
At least one user has never changed his or her password.,0,None,10.10.10.123,Allow or require users to change their passwords regularly.,"
The following user has never changed his/her password :

  - Guest


Note that, in addition to the Administrator, Guest, and Kerberos
accounts, Nessus has enumerated only those domain users with UIDs
between 1000 and 1200. To use a different range, edit the scan policy
and change the 'Start UID' and/or 'End UID' preferences for 
'SMB use domain SID to enumerate users' setting, and then re-run the scan.
"
At least one user has a password that never expires.,0,None,10.10.10.123,Allow or require users to change their passwords regularly.,"
The following users have passwords that never expire :

  - Administrator
  - SqlAgentUser
  - SqlService
  - dcs_app
  - admtuser


Note that, in addition to the Administrator, Guest, and Kerberos
accounts, Nessus has enumerated only those domain users with UIDs
between 1000 and 1200. To use a different range, edit the scan policy
and change the 'Start UID' and/or 'End UID' preferences for this
plugin, then re-run the scan.
"
At least one user account has been disabled.,0,None,10.10.10.123,Delete accounts that are no longer needed.,"
The following user accounts have been disabled :

  - krbtgt
  - Guest


Note that, in addition to the Administrator, Guest, and Kerberos
accounts, Nessus has enumerated only those domain users with UIDs
between 1000 and 1200. To use a different range, edit the scan policy
and change the 'Start UID' and/or 'End UID' preferences for 
'SMB use domain SID to enumerate users' setting, and then re-run the scan.
"
At least one local user has never logged into his or her account.,0,None,10.10.10.123,Delete accounts that are not needed.,"
The following local users have never logged in :

  - Guest
  - admtuser


Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
At least one local user has never changed his or her password.,0,None,10.10.10.123,Allow or require users to change their passwords regularly.,"
The following local user has never changed his/her password :

  - Guest


Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
At least one local user has a password that never expires.,0,None,10.10.10.123,Allow or require users to change their passwords regularly.,"
The following local users have passwords that never expire :

  - Administrator
  - SqlAgentUser
  - SqlService
  - dcs_app
  - admtuser


Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for this plugin, then re-run the
scan.
"
It is possible to enumerate Windows features using WMI.,0,None,10.10.10.123,n/a,"
Nessus enumerated the following Windows features :

  - .NET Framework 4.5
  - .NET Framework 4.5 Features
  - AD DS Snap-Ins and Command-Line Tools
  - AD DS Tools
  - AD DS and AD LDS Tools
  - Active Directory Administrative Center
  - Active Directory Domain Services
  - Active Directory module for Windows PowerShell
  - DFS Management Tools
  - DNS Server
  - DNS Server Tools
  - File Server
  - File Services Tools
  - File and Storage Services
  - File and iSCSI Services
  - Graphical Management Tools and Infrastructure
  - Group Policy Management
  - Remote Server Administration Tools
  - Role Administration Tools
  - SMB 1.0/CIFS File Sharing Support
  - Server Graphical Shell
  - Storage Services
  - TCP Port Sharing
  - Telnet Client
  - User Interfaces and Infrastructure
  - WCF Services
  - Windows PowerShell
  - Windows PowerShell 4.0
  - Windows PowerShell ISE
  - Windows Server Backup
  - WoW64 Support
"
At least one local user account has been disabled.,0,None,10.10.10.123,Delete accounts that are no longer needed.,"
The following local user account has been disabled :

  - Guest


Note that, in addition to the Administrator and Guest accounts, Nessus
has only checked for local users with UIDs between 1000 and 1200.
To use a different range, edit the scan policy and change the 'Start
UID' and/or 'End UID' preferences for 'SMB use host SID to enumerate 
local users' setting, and then re-run the scan.
"
